farm_id,farmer_id,state,district,village,area_in_acres,calculated_area_in_acres,lon,lat
14149,10205,HARYANA,YAMUNANAGAR,Vpo topra kalan,3.7,3.52,77.16182626749294,30.12084148413038
17910,13615,PUNJAB,MUKTSAR,Abul khurana,5.0,4.39,74.50262053387324,30.134327494260663
17909,13615,PUNJAB,MUKTSAR,Abul khurana,3.0,3.02,74.51544997201256,30.1343904491207
17908,13615,PUNJAB,MUKTSAR,Abul khurana,1.7,1.79,74.52328793984573,30.140769482601577
17907,13615,PUNJAB,MUKTSAR,Abul khurana,8.2,8.41,74.52242834900967,30.13856284351215
16245,11459,PUNJAB,MUKTSAR,Tappa khera,46.0,46.3,74.521684180135,30.087784106847433
1548,1299,HARYANA,FATEHABAD,Haroli,18.0,13.61,75.4786156178354,29.664560291978436
21365,15926,PUNJAB,MUKTSAR,Fathui khera,6.0,5.94,74.49990078450087,30.017010707223985
21364,15926,PUNJAB,MUKTSAR,Fathui khera,40.0,36.88,74.50211345229863,30.011394440416804
16818,11800,PUNJAB,MUKTSAR,Abul khurana,14.0,13.96,74.51947441078357,30.14248273957732
15325,10909,PUNJAB,MUKTSAR,Akalgarh,5.0,4.8,74.38080042079396,30.50456372735079
16124,11380,PUNJAB,MUKTSAR,Ramgarh,3.0,2.67,74.3878515595227,30.499127689061417
16121,11380,PUNJAB,MUKTSAR,Ramgarh,5.0,5.69,74.39697583617485,30.4808179670418
20143,15003,PUNJAB,MUKTSAR,Abul Khurana,5.885,5.86,74.49898548871965,30.12211177679403
20142,15003,PUNJAB,MUKTSAR,Abul Khurana,19.649,19.64,74.50689018317861,30.14763120651377
20435,15207,PUNJAB,FAZILKA,Kandwala Hazar khan,7.599,7.61,74.2214798051375,30.294248190910075
17169,11967,HARYANA,KARNAL,Gonder,38.0,37.75,76.70982428270688,29.70795353307164
18158,13760,PUNJAB,MUKTSAR,Abul khurana,3.6,3.59,74.4935188532855,30.1290443530055
18157,13760,PUNJAB,MUKTSAR,Abul khurana,15.1,15.22,74.50473928804975,30.129952702516444
18156,13760,PUNJAB,MUKTSAR,Abul khurana,11.8,11.92,74.50438641309032,30.133235819018044
18155,13760,PUNJAB,MUKTSAR,Abul khurana,5.7,5.65,74.51085050207979,30.134068698308248
16407,11558,PUNJAB,MUKTSAR,Chakmadrassa,7.0,6.83,74.38758055767441,30.471327530107768
20042,14912,PUNJAB,MUKTSAR,Lakhawale,8.3,7.54,74.35307101024107,30.43736316159324
20035,14912,PUNJAB,MUKTSAR,Lakhawale,7.2,6.84,74.35656434355737,30.432989587525597
20034,14912,PUNJAB,MUKTSAR,Lakhawale,14.1,13.59,74.35952869996584,30.428102043072784
16822,11801,PUNJAB,MUKTSAR,Tappa khera,8.0,8.2,74.51085782472863,30.107974618558504
16821,11801,PUNJAB,MUKTSAR,Tappa khera,7.7,7.7,74.52614945168266,30.11390636343111
16820,11801,PUNJAB,MUKTSAR,Tappa khera,6.2,6.24,74.53474897386594,30.092369019883876
16819,11801,PUNJAB,MUKTSAR,Tappa khera,21.2,21.29,74.53511954535637,30.11529580975129
21367,15928,PUNJAB,MUKTSAR,Tappa khera,8.5,8.44,74.52929493503564,30.109213159346048
17023,11887,PUNJAB,MUKTSAR,Bhullar,4.732,4.8,74.55373719104745,30.44677207970134
17022,11887,PUNJAB,MUKTSAR,Bhullar,7.351,7.16,74.5439690984432,30.4534012235099
17746,13511,PUNJAB,FAZILKA,Kandwala Hazar khan,2.011,2.0,74.21436457167306,30.31780872929966
19197,14356,PUNJAB,MUKTSAR,Chakmadrassa,1.9,1.95,74.37959575909115,30.477977168729876
19196,14356,PUNJAB,MUKTSAR,Chakmadrassa,7.8,7.27,74.38032725643747,30.47775722154562
13647,9870,HARYANA,YAMUNANAGAR,Chhari,3.0,3.0,77.14421166971165,30.083945634443825
16568,11652,HARYANA,YAMUNANAGAR,Bubka,1.0,0.98,77.13497620904165,30.0383261651225
16567,11652,HARYANA,YAMUNANAGAR,Bubka,2.0,1.91,77.13705103367235,30.03747396449167
16566,11652,HARYANA,YAMUNANAGAR,Bubka,3.2,2.99,77.13842035284861,30.035738303730096
16565,11652,HARYANA,YAMUNANAGAR,Bubka,6.0,5.97,77.13421864410826,30.034795414545524
10476,7831,HARYANA,YAMUNANAGAR,Haibatpur,1.0,1.23,77.2242176933938,30.29292462991768
10461,7831,HARYANA,YAMUNANAGAR,Haibatpur,2.4,1.95,77.24267330077184,30.300139612809215
16789,11785,HARYANA,KURUKSHETRA,Bakali,7.3,7.33,77.05851134472844,30.031466993569527
19211,14365,PUNJAB,FAZILKA,Ghattian wali,34.284,28.5,74.19564909394121,30.38044742973879
18511,13951,PUNJAB,MUKTSAR,Ramgarh,3.0,3.23,74.37897596239857,30.49270697006824
18510,13951,PUNJAB,MUKTSAR,Ramgarh,5.0,5.19,74.38113896918796,30.492993191363222
12718,9303,HARYANA,AMBALA,Subri,18.0,18.34,77.00068496112938,30.182721961658224
12717,9303,HARYANA,AMBALA,Subri,20.7,20.14,76.99844858755863,30.19101663578748
12716,9303,HARYANA,AMBALA,Subri,8.0,7.81,76.99847228839684,30.192257231171265
24128,19815,HARYANA,YAMUNANAGAR,Kail,2.0,2.06,77.24985167854264,30.18663666448064
17996,13660,PUNJAB,MUKTSAR,Abul khurana,2.8,2.8,74.56340724482101,30.14267466980248
17995,13660,PUNJAB,MUKTSAR,Abul khurana,11.3,11.41,74.56881744695123,30.14304351517654
17994,13660,PUNJAB,MUKTSAR,Abul khurana,8.5,8.13,74.56591057727361,30.14335328286803
17993,13660,PUNJAB,MUKTSAR,Abul khurana,37.2,37.23,74.56198506673846,30.145504355461387
20019,14904,PUNJAB,MUKTSAR,Abul Khurana,2.079,2.12,74.5365095486645,30.133236050839887
20018,14904,PUNJAB,MUKTSAR,Abul Khurana,5.373,5.42,74.53714092763143,30.1304207515371
20017,14904,PUNJAB,MUKTSAR,Abul Khurana,36.787,36.98,74.54475071610953,30.121487093395864
20016,14904,PUNJAB,MUKTSAR,Abul Khurana,18.798,18.69,74.50880697193331,30.135465080913317
20015,14904,PUNJAB,MUKTSAR,Abul Khurana,3.819,3.73,74.53513059244042,30.13210406758043
25715,22244,HARYANA,KAITHAL,Ahun,3.0,2.96,76.69341708817947,29.793527360820104
25714,22244,HARYANA,KAITHAL,Ahun,3.5,3.47,76.69475474246028,29.794272076692916
19195,14355,PUNJAB,MUKTSAR,Chak madrassa,2.3,2.18,74.38195557970887,30.478009980271292
19194,14355,PUNJAB,MUKTSAR,Chak madrassa,2.5,2.67,74.38195866341393,30.47636910698427
15280,10779,PUNJAB,MUKTSAR,Ram garh,2.5,2.46,74.40333773968102,30.47806676929145
15087,10779,PUNJAB,MUKTSAR,Ram garh,1.5,1.46,74.39330663557206,30.499333815115516
2690,2183,PUNJAB,GURDASPUR,Maan nagar,8.0,5.76,75.18957667299512,31.83075375543097
11293,8354,PUNJAB,FEROZEPUR,Chine wala,10.0,8.97,74.58285556000543,31.013774261239
11292,8354,PUNJAB,FEROZEPUR,Chine wala,12.0,11.94,74.58673004041076,31.001983437325435
19761,14720,PUNJAB,MUKTSAR,Madrassa,3.0,3.09,74.36352536283263,30.46800470471036
12547,9184,HARYANA,YAMUNANAGAR,Ghillour majri,8.0,8.25,77.07025704338669,30.07331187250684
12546,9184,HARYANA,YAMUNANAGAR,Ghillour majri,10.0,9.97,77.07353264434185,30.07182431158149
12545,9184,HARYANA,YAMUNANAGAR,Ghillour majri,22.1,21.66,77.07720882676364,30.07140595011232
12544,9184,HARYANA,YAMUNANAGAR,Ghillour majri,12.0,11.25,77.08309992099437,30.07118552171528
20290,15094,PUNJAB,MUKTSAR,Abul Khurana,6.265,6.24,74.57639605613973,30.12419599157555
20289,15094,PUNJAB,MUKTSAR,Abul Khurana,11.147,11.16,74.52109226560457,30.147611995362784
16916,11835,PUNJAB,MUKTSAR,Abul khurana,7.0,6.98,74.55573492681,30.142234691854465
16915,11835,PUNJAB,MUKTSAR,Abul khurana,16.0,16.59,74.55778948577141,30.1432605195145
16914,11835,PUNJAB,MUKTSAR,Abul khurana,10.6,10.79,74.52637435107569,30.13056602348045
16913,11835,PUNJAB,MUKTSAR,Abul khurana,6.0,5.94,74.50403287348264,30.121382948641457
16912,11835,PUNJAB,MUKTSAR,Abul khurana,7.0,7.03,74.50381603069066,30.119283931384125
16795,11788,HARYANA,FATEHABAD,Haroli,10.0,9.85,75.45819887378858,29.641979157124226
16877,11819,PUNJAB,MUKTSAR,Lakhawali,6.0,5.67,74.34778165106381,30.440694204641503
16876,11819,PUNJAB,MUKTSAR,Lakhawali,6.0,5.07,74.3454335949713,30.442822783765585
16866,11813,PUNJAB,MUKTSAR,Abul khurana,6.0,6.0,74.54598330955359,30.128083233965057
2675,2169,HARYANA,FATEHABAD,Haroli,23.0,23.53,75.4717477773933,29.669004935024024
17208,11938,PUNJAB,MUKTSAR,Abul khurana,23.0,22.93,74.55506538886138,30.12231927175021
22730,17128,HARYANA,KAITHAL,Kaul,3.5,3.67,76.64229327474185,29.840522496494824
22729,17128,HARYANA,KAITHAL,Kaul,12.5,11.74,76.63800823666038,29.846293228463157
22728,17128,HARYANA,KAITHAL,Kaul,5.5,5.41,76.63524396273952,29.840738208628284
14195,10236,PUNJAB,FEROZEPUR,Jamitpur dehru,19.5,21.73,74.75320597301595,30.939133445450736
20039,14913,PUNJAB,MUKTSAR,Abul khurana,4.0,3.66,74.49895472547325,30.13320164657132
20037,14913,PUNJAB,MUKTSAR,Abul khurana,10.5,10.69,74.57021484985351,30.132551778525244
20036,14913,PUNJAB,MUKTSAR,Abul khurana,24.0,23.86,74.57428383353462,30.135512427105876
1192,1018,HARYANA,KURUKSHETRA,Jogna khera,5.0,2.69,76.8069971276047,29.98986958656968
18319,13849,PUNJAB,MUKTSAR,Ramgarh,1.5,1.55,74.39949503918425,30.47969244727532
18318,13849,PUNJAB,MUKTSAR,Ramgarh,1.0,0.83,74.4001666739919,30.480644661882355
18317,13849,PUNJAB,MUKTSAR,Ramgarh,4.0,3.39,74.37365625956238,30.499186457877123
17846,13572,PUNJAB,MUKTSAR,Abul khurana,6.0,6.11,74.55728377152154,30.12604866103384
17845,13572,PUNJAB,MUKTSAR,Abul khurana,19.8,20.11,74.57835553735475,30.11601868307208
20472,15236,HARYANA,FATEHABAD,Bigad,22.0,26.23,75.4555827114032,29.4606184313813
15416,10906,PUNJAB,MUKTSAR,Akalgarh,3.0,2.6,74.38906283762002,30.493067290995892
15415,10906,PUNJAB,MUKTSAR,Akalgarh,4.0,3.72,74.39066917879988,30.493056889907027
15322,10906,PUNJAB,MUKTSAR,Akalgarh,2.0,1.89,74.38276344834009,30.50360669745044
178,170,PUNJAB,AMRITSAR,Othian,10.0,9.88,74.71177704243686,31.768579657721492
3023,2449,HARYANA,JIND,Raichandwala,15.0,12.91,76.41750568987021,29.392843051396312
5445,4357,HARYANA,FATEHABAD,Haroli,6.0,5.01,75.45749000216995,29.63925591231436
16530,11631,PUNJAB,MUKTSAR,Ramgarh,4.0,3.89,74.38927221021213,30.490293834776505
13206,9595,PUNJAB,LUDHIANA,Pamali,8.25,8.04,75.7512297320161,30.822773115304336
13205,9595,PUNJAB,LUDHIANA,Pamali,3.5,3.09,75.74695401167024,30.822259300413997
16664,11707,PUNJAB,FAZILKA,Chakjanisar,24.0,21.28,74.33739457924277,30.510468524482924
21130,15723,PUNJAB,MUKTSAR,Chakmadrassa,6.5,6.56,74.35147683244583,30.46271349069084
21129,15723,PUNJAB,MUKTSAR,Chakmadrassa,2.0,1.99,74.35041798607975,30.46020755643144
21128,15723,PUNJAB,MUKTSAR,Chakmadrassa,5.2,5.26,74.35271015517165,30.477480997614247
1638,1368,HARYANA,KARNAL,Gondar,50.0,37.71,76.73693216713009,29.63074590016696
16595,11670,PUNJAB,MUKTSAR,Tappa khera,2.0,2.0,74.54497043371259,30.109319374551628
21066,15659,PUNJAB,MUKTSAR,Ramgarh,3.8,3.7,74.38283986636456,30.49297893439687
21065,15659,PUNJAB,MUKTSAR,Ramgarh,8.0,7.77,74.38228907630179,30.4907958006161
18890,14178,PUNJAB,MUKTSAR,Ramgarh,5.1,5.3,74.3811152643695,30.48194194678976
4159,3307,HARYANA,SIRSA,Dumdma,7.0,7.48,74.67363188822854,29.55686318278791
16085,11352,PUNJAB,MUKTSAR,Adhnian,2.0,2.39,74.53327947627061,30.065156674817505
3450,2766,HARYANA,FATEHABAD,Haroli,8.0,9.05,75.46214963725423,29.65023342198829
16731,11750,PUNJAB,MUKTSAR,Ramgarh,8.0,8.27,74.40193863897058,30.481114296336216
16730,11750,PUNJAB,MUKTSAR,Ramgarh,1.0,0.93,74.40246394403778,30.477823835042933
12169,8925,HARYANA,AMBALA,Jaferpur,19.6,19.22,77.13850214900661,30.31085530277352
20063,14911,PUNJAB,MUKTSAR,Lakhawale,6.7,6.71,74.37127684216631,30.449531066722685
20033,14911,PUNJAB,MUKTSAR,Lakhawale,7.8,7.77,74.36355681832661,30.429518992549237
25533,21957,HARYANA,KURUKSHETRA,Mangoli jattan,11.0,11.91,77.02917601348783,30.12035657459384
16648,11697,PUNJAB,MUKTSAR,Bhullar,8.789,8.59,74.58750486615666,30.428988581571588
16647,11697,PUNJAB,MUKTSAR,Bhullar,13.178,12.93,74.58640336990356,30.42659112961102
16646,11697,PUNJAB,MUKTSAR,Bhullar,14.028,14.16,74.57622974901612,30.42691529984624
1544,1297,HARYANA,SIRSA,Moju Khera,4.5,3.98,74.74164053070906,29.48169966863877
1543,1297,HARYANA,SIRSA,Moju Khera,3.5,3.2,74.74234245767164,29.484907177370793
2541,2063,HARYANA,KURUKSHETRA,Jyotisar,4.0,3.89,76.75857295925917,29.947424542484804
20542,15302,PUNJAB,MUKTSAR,Abul Khurana,4.886,4.89,74.48226906359196,30.04734395256197
20541,15302,PUNJAB,MUKTSAR,Abul Khurana,23.299,23.27,74.47856590048863,30.05003901534971
20540,15302,PUNJAB,MUKTSAR,Abul Khurana,29.541,29.38,74.52749383049304,30.13419923068263
23376,18264,HARYANA,YAMUNANAGAR,Talakour,3.0,2.8,77.20303903510082,30.239495891925436
19633,14625,HARYANA,KURUKSHETRA,Bapdi,2.5,2.75,77.07715382879803,29.96983609275413
19632,14625,HARYANA,KURUKSHETRA,Bapdi,1.4,1.46,77.08068001997545,29.96560085715052
18452,13913,HARYANA,KARNAL,Khedi man singh,10.8,10.49,77.00738472187103,29.82918853388459
18451,13913,HARYANA,KARNAL,Khedi man singh,10.7,11.07,77.00703058038715,29.828139816136595
3547,2830,PUNJAB,BARNALA,Sanghera,10.0,10.85,75.53986383178561,30.39333438332406
15504,11006,PUNJAB,MUKTSAR,Ramgarh,1.5,1.55,74.38525726106528,30.48730706737378
13225,9611,PUNJAB,LUDHIANA,Pamali,3.0,3.31,75.75306236988361,30.82453555172706
13224,9611,PUNJAB,LUDHIANA,Pamali,2.5,2.52,75.74240063871207,30.8180047679702
13223,9611,PUNJAB,LUDHIANA,Pamali,2.5,2.51,75.74173147955324,30.827818607930137
12351,9063,PUNJAB,LUDHIANA,Birmi,8.0,10.15,75.72018466863223,30.919749423391067
16346,11521,PUNJAB,MUKTSAR,Tappa khera,9.5,9.54,74.5421876475751,30.091867142774312
16345,11521,PUNJAB,MUKTSAR,Tappa khera,24.0,24.15,74.54727456608435,30.103926784247335
16341,11521,PUNJAB,MUKTSAR,Tappa khera,28.5,29.97,74.53579483945123,30.09049782687818
14826,10634,PUNJAB,MUKTSAR,sukhna abluo,107.0,86.82,74.61658441708151,30.34598086724784
14824,10634,PUNJAB,MUKTSAR,sukhna abluo,21.54,20.81,74.63065446182196,30.338294525068505
19827,14760,PUNJAB,MUKTSAR,Adhnian,2.0,2.16,74.55303699509965,30.06632748948097
19826,14760,PUNJAB,MUKTSAR,Adhnian,5.2,5.17,74.53058302513605,30.067441772876297
16606,11674,PUNJAB,MUKTSAR,Tappa khera,2.0,2.0,74.54640664467422,30.10713831699484
16605,11674,PUNJAB,MUKTSAR,Tappa khera,7.0,6.77,74.54504861683132,30.108622298209063
16604,11674,PUNJAB,MUKTSAR,Tappa khera,8.8,8.47,74.53916353350334,30.101007510414156
4553,3602,HARYANA,KURUKSHETRA,Bagthala,10.0,8.1,76.7170551935295,29.99812626300059
16894,11825,PUNJAB,MUKTSAR,Adhnian,7.5,7.62,74.55167773466685,30.084394167222552
16893,11825,PUNJAB,MUKTSAR,Adhnian,15.5,15.43,74.55572373008266,30.08655117361136
21415,15959,PUNJAB,MUKTSAR,Madrassa,2.2,2.19,74.37271504036725,30.464455102009904
21413,15959,PUNJAB,MUKTSAR,Madrassa,3.6,3.81,74.37640676401956,30.46380462884683
16593,11669,PUNJAB,MUKTSAR,Tappa khera,9.5,9.52,74.544521035485,30.110976051137612
16592,11669,PUNJAB,MUKTSAR,Tappa khera,12.5,12.42,74.5466707490108,30.11073596626635
18246,13809,PUNJAB,MUKTSAR,Sounke,5.8,3.88,74.48248002356682,30.31829192191435
18245,13809,PUNJAB,MUKTSAR,Sounke,33.4,32.87,74.48319198883,30.32557082819558
1245,1062,HARYANA,KAITHAL,Kharkra,22.0,16.96,76.28992319411473,29.94410488449539
16119,11378,PUNJAB,MUKTSAR,Ramgarh,3.5,3.44,74.4018124980637,30.485184516536133
13228,9614,PUNJAB,LUDHIANA,Pamali,7.0,6.64,75.74505566552332,30.831655244325063
25594,22046,HARYANA,KURUKSHETRA,Mangoli jattan,8.0,7.96,77.0369193788773,30.134650887579504
17237,12000,PUNJAB,MUKTSAR,Trakhan wala,9.5,9.75,74.39224718293143,30.327034413306265
16717,11739,PUNJAB,MUKTSAR,Tappa khera,5.0,5.07,74.53362936278447,30.111651676093867
16716,11739,PUNJAB,MUKTSAR,Tappa khera,9.8,9.94,74.53604964092585,30.112623457864355
17248,12009,PUNJAB,MUKTSAR,Nanakpura,7.789,7.82,74.4278365136234,30.387084361206604
8973,6904,PUNJAB,MANSA,Lakhiwal,30.8,30.71,75.53177506323846,29.794597743908483
7814,1362,HARYANA,FATEHABAD,Haroli,12.0,9.22,75.47908161481917,29.63864558772273
16942,11844,PUNJAB,MUKTSAR,Adhnian,0.6,0.75,74.5554874238396,30.082103222786547
16941,11844,PUNJAB,MUKTSAR,Adhnian,13.0,13.12,74.56243703506523,30.086632325197066
16940,11844,PUNJAB,MUKTSAR,Adhnian,14.0,14.74,74.56431879590687,30.085341309534822
16939,11844,PUNJAB,MUKTSAR,Adhnian,2.0,1.94,74.55511890554611,30.077282464381828
16938,11844,PUNJAB,MUKTSAR,Adhnian,4.5,4.87,74.55764333146115,30.081260771332072
16937,11844,PUNJAB,MUKTSAR,Adhnian,12.0,12.24,74.55374947418024,30.082128778432516
18244,13808,PUNJAB,MUKTSAR,Tappa khera,12.7,12.55,74.55059053055975,30.100650686970585
14506,10426,HARYANA,KURUKSHETRA,Umri,12.3,12.17,76.92088243095913,29.9313742209174
14505,10426,HARYANA,KURUKSHETRA,Umri,14.0,14.42,76.92673508859546,29.93814877229423
16720,11742,PUNJAB,MUKTSAR,Tarkhan wala,19.0,19.6,74.38915442191876,30.322510204429665
20628,15363,PUNJAB,MUKTSAR,Mahuana,7.5,7.29,74.53110740511684,30.084329459857845
20627,15363,PUNJAB,MUKTSAR,Mahuana,4.2,4.29,74.53432744294545,30.083622246161035
20626,15363,PUNJAB,MUKTSAR,Mahuana,12.0,12.09,74.54470202947495,30.08361163902442
20625,15363,PUNJAB,MUKTSAR,Mahuana,13.0,10.77,74.53726757371366,30.079491350413
20624,15363,PUNJAB,MUKTSAR,Mahuana,8.2,8.34,74.55140175830081,30.07730540602261
20623,15363,PUNJAB,MUKTSAR,Mahuana,4.1,4.43,74.55889746352432,30.098929027333657
2255,1839,HARYANA,SIRSA,Rattakhera,3.5,2.24,74.77691015816119,29.46534901252441
2253,1839,HARYANA,SIRSA,Rattakhera,3.0,2.99,74.78502686281891,29.47774574619544
14591,10480,HARYANA,KURUKSHETRA,New gawn,15.0,14.88,77.02589158908286,29.963138548461068
4655,3683,HARYANA,FATEHABAD,Khumber,7.0,5.21,75.43150636383233,29.62558400320959
23088,17803,HARYANA,KURUKSHETRA,Bir mathana,19.0,19.93,76.91690965766533,29.99661734684304
15486,10996,PUNJAB,MUKTSAR,Ramgar,2.0,1.88,74.40470619239511,30.48468418791751
15485,10996,PUNJAB,MUKTSAR,Ramgar,3.4,3.85,74.40481705446605,30.48083188511028
15484,10996,PUNJAB,MUKTSAR,Ramgar,3.0,3.09,74.40566158031426,30.482300437457567
8282,3227,HARYANA,SIRSA,Dumdma,12.0,11.86,74.65574049271066,29.457674795260733
8281,3227,HARYANA,SIRSA,Dumdma,32.4,30.97,74.65358873113587,29.568929280111337
17818,13553,PUNJAB,MUKTSAR,Danewala,11.8,11.78,74.2684640910086,30.005444227525853
17817,13553,PUNJAB,MUKTSAR,Danewala,1.5,1.46,74.48610419729654,30.16698212448062
17816,13553,PUNJAB,MUKTSAR,Danewala,46.8,42.7,74.48389126572883,30.169769469401707
1731,1433,HARYANA,FATEHABAD,Haroli,2.5,1.85,75.45227865194815,29.659081038993225
14604,10486,PUNJAB,FEROZEPUR,Nazu wala,16.4,15.88,74.74931034551484,30.964404154639553
6154,4959,PUNJAB,FARIDKOT,Dhilwan kalan,4.0,3.78,74.88210006351265,30.55493735418443
12791,9347,PUNJAB,MUKTSAR,Lohara,7.0,7.06,74.65706309881512,30.35619438353976
12790,9347,PUNJAB,MUKTSAR,Lohara,4.341,4.34,74.66347463980412,30.3697595567771
8926,6877,PUNJAB,BATHINDA,Bibi wala,5.0,4.93,74.99682991562358,30.25066563518375
9172,7027,HARYANA,KARNAL,Bhoji,7.0,6.8,77.11684055713586,29.921104839230143
5762,4608,PUNJAB,BARNALA,sanghera,8.0,7.18,75.54684799392686,30.40148548399738
20024,14906,PUNJAB,MUKTSAR,Abul khurana,3.0,3.03,74.55035484474881,30.12038188334294
20023,14906,PUNJAB,MUKTSAR,Abul khurana,10.5,10.63,74.56115055578823,30.14221452422844
20022,14906,PUNJAB,MUKTSAR,Abul khurana,15.0,15.08,74.55282892906912,30.13053624443761
20021,14906,PUNJAB,MUKTSAR,Abul khurana,6.9,6.83,74.55337490443996,30.127430823643863
15841,11197,PUNJAB,MUKTSAR,Ramgarh,5.0,6.31,74.40934188414947,30.480475786435697
13003,9473,HARYANA,YAMUNANAGAR,Daulatpur,3.0,2.97,77.11399112620408,30.079001912752556
13002,9473,HARYANA,YAMUNANAGAR,Daulatpur,4.0,3.79,77.11389467340042,30.082464128458067
13001,9473,HARYANA,YAMUNANAGAR,Daulatpur,4.5,4.37,77.111011670458,30.0871378901908
13000,9473,HARYANA,YAMUNANAGAR,Daulatpur,9.5,9.07,77.09186425787898,30.103091475148148
17822,13555,PUNJAB,MUKTSAR,Dabewala,11.8,12.07,74.54700809371082,30.18035165107661
15718,11132,PUNJAB,MUKTSAR,Ramgarh,8.6,8.21,74.3969790836492,30.501294334781587
17224,11993,HARYANA,YAMUNANAGAR,Badanpuri,2.2,2.22,77.1939940130648,30.12828601933849
17223,11993,HARYANA,YAMUNANAGAR,Badanpuri,2.0,2.0,77.19124478133605,30.127880049004165
18770,14118,HARYANA,KAITHAL,Ahun,2.5,2.61,76.68765501361543,29.796427497799566
2597,2110,HARYANA,PANIPAT,Sewah,5.0,4.42,76.97936541587673,29.32626762394613
2555,2072,HARYANA,KAITHAL,Lambakheri,2.0,1.25,76.22773622183813,29.693469983650363
2554,2072,HARYANA,KAITHAL,Lambakheri,3.0,2.54,76.22998681457351,29.69084520900332
18771,14119,HARYANA,KAITHAL,Rasina,50.0,48.81,76.66338076031651,29.744433359811687
25022,21274,HARYANA,KURUKSHETRA,Ram nagar,22.0,22.72,76.94032352270254,30.0736918950711
26334,23076,HARYANA,KAITHAL,Kheri Sakra,7.5,7.64,76.6768300665489,29.814748412426884
26333,23076,HARYANA,KAITHAL,Kheri Sakra,14.0,12.96,76.66659662189278,29.805772458335532
19298,14412,HARYANA,KAITHAL,Sach,2.0,1.87,76.66158759519482,29.737532273877893
20131,14992,PUNJAB,MUKTSAR,Abul Khurana,4.262,4.25,74.56845300165728,30.13965886466168
20130,14992,PUNJAB,MUKTSAR,Abul Khurana,11.318,11.21,74.57406036944278,30.139104186781697
20129,14992,PUNJAB,MUKTSAR,Abul Khurana,5.038,5.0,74.56511301406405,30.124328661911232
10661,7968,HARYANA,KURUKSHETRA,Hari Singh majra,20.0,18.46,76.97672676289937,30.094252064851904
16003,11300,PUNJAB,MUKTSAR,Akalgarh,3.7,3.75,74.40064310743959,30.523967106649344
2581,2096,HARYANA,FATEHABAD,Fatehabad local,33.0,23.85,75.46004020185298,29.53904116018524
17827,13558,PUNJAB,FAZILKA,Jandwala,1.5,1.51,74.30957427250681,30.52709156446785
17826,13558,PUNJAB,FAZILKA,Jandwala,2.5,2.71,74.30816719723396,30.524180054898657
16005,11298,PUNJAB,MUKTSAR,Akalgarh,2.4,2.35,74.40104575757539,30.525325418757536
16002,11298,PUNJAB,MUKTSAR,Akalgarh,3.0,2.98,74.39373094661593,30.518773363110206
16001,11298,PUNJAB,MUKTSAR,Akalgarh,3.3,3.66,74.39508298347143,30.517136010995028
17263,12013,PUNJAB,MUKTSAR,Tarkhan wala,19.0,16.22,74.40186292156818,30.32244550362979
16870,11808,PUNJAB,MUKTSAR,Lakhawali,6.0,6.55,74.35490951160776,30.44127959857006
16869,11808,PUNJAB,MUKTSAR,Lakhawali,24.0,28.37,74.35813456767112,30.439260095722545
16855,11808,PUNJAB,MUKTSAR,Lakhawali,2.5,2.43,74.36438105173754,30.447109469859736
16854,11808,PUNJAB,MUKTSAR,Lakhawali,42.5,42.51,74.3612588194087,30.447785168582183
16853,11808,PUNJAB,MUKTSAR,Lakhawali,25.0,25.75,74.3636591313795,30.444084206774033
16852,11808,PUNJAB,MUKTSAR,Lakhawali,12.0,11.18,74.37496903359397,30.448000377221923
2096,1714,HARYANA,SIRSA,Ghukanwali,10.0,10.59,74.87692454332942,29.728595298320386
517,467,HARYANA,SIRSA,Anandgarh,5.0,5.11,74.97256777013845,29.725936933436408
18275,13829,PUNJAB,MUKTSAR,Bhuttiwala,32.89,33.14,74.61392041395769,30.46961890075171
18274,13829,PUNJAB,MUKTSAR,Bhuttiwala,23.815,23.88,74.61608957437656,30.46812743822607
18357,13869,HARYANA,FATEHABAD,Madh,17.5,17.48,75.39601827053944,29.715661846225835
15626,10974,PUNJAB,MUKTSAR,Ramgarh,4.0,3.55,74.39619974519734,30.473677227074713
15437,10974,PUNJAB,MUKTSAR,Ramgarh,2.4,2.04,74.40579709848599,30.475096816921074
15436,10974,PUNJAB,MUKTSAR,Ramgarh,3.0,2.54,74.40799656126244,30.474052870433944
15477,10991,PUNJAB,MUKTSAR,sukhna abluo,3.112,3.13,74.62167056678382,30.35360302916912
15476,10991,PUNJAB,MUKTSAR,sukhna abluo,20.136,20.12,74.62310808554395,30.352101425941985
15475,10991,PUNJAB,MUKTSAR,sukhna abluo,5.801,5.57,74.61057120897456,30.343075130321857
15474,10991,PUNJAB,MUKTSAR,sukhna abluo,6.504,6.41,74.61161408767894,30.344273299349407
3223,2580,HARYANA,SIRSA,Odhan,27.0,24.17,74.89101590478928,29.755124934736926
6212,5011,PUNJAB,FARIDKOT,Kamiana,5.0,4.09,74.72457304545652,30.635273006385106
21788,16277,HARYANA,KURUKSHETRA,Ajrana Kalan,60.0,59.91,76.79601857741534,30.10577635807687
17833,13564,PUNJAB,FAZILKA,Dhabkhusal joya,2.5,2.54,74.28241563209056,30.537413183764784
17039,11895,PUNJAB,MUKTSAR,Udekaran,6.028,6.05,74.53585318688694,30.50347078038644
17038,11895,PUNJAB,MUKTSAR,Udekaran,18.251,18.25,74.53301033292254,30.504560039793525
